Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
"Lead-induced chronic gout, left hip",Drink plenty of water,Avoid oily food,Take medicines on time,Exercise lightly
Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident,Take medicines on time,Exercise lightly,Get adequate rest,Drink plenty of water
Personal history of other diseases of the musculoskeletal system and connective tissue,Drink plenty of water,Avoid oily food,Monitor vitals regularly,Get adequate rest
"Displaced fracture of fourth metatarsal bone, unspecified foot",Maintain hygiene,Take medicines on time,Get adequate rest,Drink plenty of water
Acute monoblastic/monocytic leukemia,Take medicines on time,Drink plenty of water,Exercise lightly,Maintain hygiene
Unspecified subluxation of left knee,Exercise lightly,Take medicines on time,Monitor vitals regularly,Get adequate rest
Disorders of bile acid and cholesterol metabolism,Exercise lightly,Maintain hygiene,Monitor vitals regularly,Drink plenty of water
"Contusion of lung, bilateral",Take medicines on time,Avoid oily food,Maintain hygiene,Drink plenty of water
Corrosion of second degree of abdominal wall,Monitor vitals regularly,Exercise lightly,Get adequate rest,Maintain hygiene
Ulnohumeral (joint) sprain of unspecified elbow,Maintain hygiene,Take medicines on time,Get adequate rest,Drink plenty of water
"Fracture of other specified skull and facial bones, right side",Drink plenty of water,Maintain hygiene,Exercise lightly,Get adequate rest
"Poisoning by hemostatic drug, accidental (unintentional)",Monitor vitals regularly,Take medicines on time,Avoid oily food,Exercise lightly
"Secondary osteoarthritis, shoulder",Exercise lightly,Drink plenty of water,Monitor vitals regularly,Get adequate rest
Puncture wound without foreign body of unspecified ear,Monitor vitals regularly,Maintain hygiene,Avoid oily food,Take medicines on time
Puncture wound without foreign body of right lesser toe(s) without damage to nail,Exercise lightly,Take medicines on time,Maintain hygiene,Monitor vitals regularly
Underdosing of histamine H2-receptor blockers,Take medicines on time,Drink plenty of water,Monitor vitals regularly,Avoid oily food
Other specified functional intestinal disorders,Monitor vitals regularly,Maintain hygiene,Avoid oily food,Exercise lightly
Nondisplaced fracture of lateral cuneiform of left foot,Monitor vitals regularly,Get adequate rest,Avoid oily food,Maintain hygiene
"Poisoning by calcium-channel blockers, assault",Maintain hygiene,Exercise lightly,Avoid oily food,Take medicines on time
"Strain of extensor muscle, fascia and tendon of left index finger at wrist and hand level",Exercise lightly,Take medicines on time,Get adequate rest,Maintain hygiene
Malignant neoplasm of oropharynx,Exercise lightly,Take medicines on time,Avoid oily food,Maintain hygiene
Burn of right eyelid and periocular area,Take medicines on time,Get adequate rest,Exercise lightly,Monitor vitals regularly
Drowning and submersion due to other accident to passenger ship,Get adequate rest,Maintain hygiene,Avoid oily food,Drink plenty of water
Unspecified behavioral syndromes associated with physiological disturbances and physical factors,Avoid oily food,Monitor vitals regularly,Get adequate rest,Drink plenty of water
Blister (nonthermal) of unspecified part of neck,Get adequate rest,Avoid oily food,Take medicines on time,Drink plenty of water
Drowning and submersion due to falling or jumping from unspecified burning watercraft,Take medicines on time,Maintain hygiene,Avoid oily food,Get adequate rest
"Other specified joint disorders, wrist",Get adequate rest,Maintain hygiene,Exercise lightly,Avoid oily food
"Age-related osteoporosis with current pathological fracture, right shoulder",Take medicines on time,Exercise lightly,Avoid oily food,Drink plenty of water
Contusion of unspecified finger without damage to nail,Maintain hygiene,Get adequate rest,Exercise lightly,Monitor vitals regularly
"Breakdown (mechanical) of other ocular prosthetic devices, implants and grafts",Drink plenty of water,Exercise lightly,Avoid oily food,Maintain hygiene
Driver of pick-up truck or van injured in noncollision transport accident in traffic accident,Avoid oily food,Exercise lightly,Drink plenty of water,Maintain hygiene
Unspecified episcleritis,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Get adequate rest
Abrasion of left upper arm,Maintain hygiene,Exercise lightly,Avoid oily food,Take medicines on time
Coronary artery aneurysm and dissection,Avoid oily food,Monitor vitals regularly,Drink plenty of water,Maintain hygiene
"Poisoning by antineoplastic and immunosuppressive drugs, undetermined",Avoid oily food,Get adequate rest,Drink plenty of water,Take medicines on time
"Poisoning by unspecified hormone antagonists, assault",Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
Calcific tendinitis,Avoid oily food,Take medicines on time,Get adequate rest,Maintain hygiene
"Other generalized epilepsy and epileptic syndromes, not intractable",Maintain hygiene,Take medicines on time,Monitor vitals regularly,Drink plenty of water
Unspecified keratoconjunctivitis,Take medicines on time,Get adequate rest,Drink plenty of water,Avoid oily food
Anaphylactic reaction due to shellfish (crustaceans),Get adequate rest,Monitor vitals regularly,Maintain hygiene,Drink plenty of water
"Poisoning by histamine H2-receptor blockers, undetermined",Get adequate rest,Take medicines on time,Drink plenty of water,Maintain hygiene
"Toxic effect of unspecified spider venom, intentional self-harm",Get adequate rest,Maintain hygiene,Avoid oily food,Exercise lightly
"Reaction to severe stress, unspecified",Maintain hygiene,Exercise lightly,Monitor vitals regularly,Avoid oily food
Drowning and submersion due to being washed overboard from (nonpowered) inflatable craft,Monitor vitals regularly,Maintain hygiene,Exercise lightly,Get adequate rest
Underdosing of tricyclic antidepressants,Drink plenty of water,Avoid oily food,Get adequate rest,Maintain hygiene
Other cataclysmic storms,Drink plenty of water,Take medicines on time,Get adequate rest,Monitor vitals regularly
Other specified injuries of left ankle,Take medicines on time,Drink plenty of water,Monitor vitals regularly,Exercise lightly
Retained foreign body in eyelid,Exercise lightly,Avoid oily food,Get adequate rest,Maintain hygiene
"Absence epileptic syndrome, intractable",Avoid oily food,Drink plenty of water,Get adequate rest,Monitor vitals regularly
"Other multiple liveborn infant, unspecified as to place of birth",Get adequate rest,Drink plenty of water,Avoid oily food,Maintain hygiene
Diseases of thymus,Monitor vitals regularly,Avoid oily food,Exercise lightly,Maintain hygiene
"Other streptococcal arthritis, vertebrae",Avoid oily food,Drink plenty of water,Maintain hygiene,Get adequate rest
Breakdown (mechanical) of implanted electronic neurostimulator of brain electrode (lead),Avoid oily food,Get adequate rest,Drink plenty of water,Monitor vitals regularly
"Injury of unspecified nerve at forearm level, left arm",Exercise lightly,Avoid oily food,Maintain hygiene,Take medicines on time
Laceration with foreign body of unspecified eyelid and periocular area,Maintain hygiene,Take medicines on time,Exercise lightly,Get adequate rest
"Puncture wound with foreign body, left lower leg",Maintain hygiene,Avoid oily food,Take medicines on time,Exercise lightly
"Poisoning by other drugs acting on muscles, accidental (unintentional)",Avoid oily food,Get adequate rest,Drink plenty of water,Maintain hygiene
Pedal cycle driver injured in collision with railway train or railway vehicle in nontraffic accident,Drink plenty of water,Take medicines on time,Get adequate rest,Monitor vitals regularly
"Glaucoma secondary to eye inflammation, bilateral",Maintain hygiene,Monitor vitals regularly,Exercise lightly,Take medicines on time
Adverse effect of thyroid hormones and substitutes,Get adequate rest,Maintain hygiene,Avoid oily food,Drink plenty of water
Laceration with foreign body of left ring finger without damage to nail,Take medicines on time,Exercise lightly,Maintain hygiene,Avoid oily food
Unspecified occupant of bus injured in collision with pedal cycle in nontraffic accident,Avoid oily food,Get adequate rest,Drink plenty of water,Monitor vitals regularly
"Sprain of jaw, left side",Monitor vitals regularly,Take medicines on time,Exercise lightly,Drink plenty of water
"Poisoning by other viral vaccines, undetermined",Exercise lightly,Drink plenty of water,Avoid oily food,Maintain hygiene
Chronic embolism and thrombosis of unspecified deep veins of distal lower extremity,Get adequate rest,Avoid oily food,Maintain hygiene,Take medicines on time
Encounter for adjustment and management of infusion pump,Drink plenty of water,Maintain hygiene,Exercise lightly,Avoid oily food
Unspecified sprain of left wrist,Get adequate rest,Monitor vitals regularly,Avoid oily food,Drink plenty of water
"Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, left leg",Avoid oily food,Monitor vitals regularly,Take medicines on time,Drink plenty of water
"Disease of spleen, unspecified",Exercise lightly,Maintain hygiene,Get adequate rest,Drink plenty of water
"Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm",Maintain hygiene,Monitor vitals regularly,Drink plenty of water,Get adequate rest
Acute lymphangitis of toe,Exercise lightly,Drink plenty of water,Get adequate rest,Monitor vitals regularly
Complications of liver transplant,Drink plenty of water,Monitor vitals regularly,Exercise lightly,Avoid oily food
"Hemarthrosis, knee",Avoid oily food,Exercise lightly,Monitor vitals regularly,Maintain hygiene
"Immersion hand, unspecified hand",Take medicines on time,Maintain hygiene,Avoid oily food,Exercise lightly
"Malignant neoplasm of female genital organ, unspecified",Take medicines on time,Avoid oily food,Monitor vitals regularly,Maintain hygiene
Thromboembolism in childbirth,Take medicines on time,Drink plenty of water,Maintain hygiene,Exercise lightly
Unspecified laceration of spleen,Monitor vitals regularly,Maintain hygiene,Drink plenty of water,Get adequate rest
Underdosing of unspecified topical agent,Avoid oily food,Monitor vitals regularly,Drink plenty of water,Exercise lightly
"Osteitis condensans, upper arm",Take medicines on time,Exercise lightly,Drink plenty of water,Monitor vitals regularly
Embryonic cyst of fallopian tube,Get adequate rest,Take medicines on time,Maintain hygiene,Avoid oily food
"Idiopathic chronic gout, unspecified wrist",Take medicines on time,Drink plenty of water,Get adequate rest,Monitor vitals regularly
"Staphylococcal arthritis, wrist",Avoid oily food,Monitor vitals regularly,Exercise lightly,Maintain hygiene
Frostbite with tissue necrosis of right knee and lower leg,Drink plenty of water,Monitor vitals regularly,Maintain hygiene,Avoid oily food
Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,Exercise lightly,Avoid oily food,Maintain hygiene,Monitor vitals regularly
Laceration with foreign body of right back wall of thorax without penetration into thoracic cavity,Maintain hygiene,Avoid oily food,Exercise lightly,Take medicines on time
Hypertensive retinopathy,Maintain hygiene,Monitor vitals regularly,Get adequate rest,Avoid oily food
