Disease,Description
"Poisoning by antiviral drugs, intentional self-harm","Poisoning by antiviral drugs, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of nitroglycerin and other nitric acids and esters, undetermined","Toxic effect of nitroglycerin and other nitric acids and esters, undetermined is a medical condition that requires attention. Symptoms may vary."
Fall on board other powered watercraft,Fall on board other powered watercraft is a medical condition that requires attention. Symptoms may vary.
Epidural hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,Epidural hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness is a medical condition that requires attention. Symptoms may vary.
Other injury of head of pancreas,Other injury of head of pancreas is a medical condition that requires attention. Symptoms may vary.
Unspecified foreign body in esophagus causing other injury,Unspecified foreign body in esophagus causing other injury is a medical condition that requires attention. Symptoms may vary.
Open bite of left front wall of thorax without penetration into thoracic cavity,Open bite of left front wall of thorax without penetration into thoracic cavity is a medical condition that requires attention. Symptoms may vary.
"Displaced fracture of second metatarsal bone, unspecified foot","Displaced fracture of second metatarsal bone, unspecified foot is a medical condition that requires attention. Symptoms may vary."
Corrosion of first degree of left foot,Corrosion of first degree of left foot is a medical condition that requires attention. Symptoms may vary.
Other fracture of T5-T6 vertebra,Other fracture of T5-T6 vertebra is a medical condition that requires attention. Symptoms may vary.
Person on outside of dune buggy injured in traffic accident,Person on outside of dune buggy injured in traffic accident is a medical condition that requires attention. Symptoms may vary.
Nondisplaced comminuted fracture of shaft of unspecified tibia,Nondisplaced comminuted fracture of shaft of unspecified tibia is a medical condition that requires attention. Symptoms may vary.
Injury of unspecified nerve at wrist and hand level of unspecified arm,Injury of unspecified nerve at wrist and hand level of unspecified arm is a medical condition that requires attention. Symptoms may vary.
Junctional premature depolarization,Junctional premature depolarization is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of soaps, accidental (unintentional)","Toxic effect of soaps, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Crushing injury of unspecified foot,Crushing injury of unspecified foot is a medical condition that requires attention. Symptoms may vary.
"Interstitial myositis, ankle and foot","Interstitial myositis, ankle and foot is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of nitrogen oxides, undetermined","Toxic effect of nitrogen oxides, undetermined is a medical condition that requires attention. Symptoms may vary."
Corrosion of second degree of scalp [any part],Corrosion of second degree of scalp [any part] is a medical condition that requires attention. Symptoms may vary.
Age-related reticular degeneration of retina,Age-related reticular degeneration of retina is a medical condition that requires attention. Symptoms may vary.
Paralytic lagophthalmos,Paralytic lagophthalmos is a medical condition that requires attention. Symptoms may vary.
Other dislocation of unspecified foot,Other dislocation of unspecified foot is a medical condition that requires attention. Symptoms may vary.
"Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity","Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity is a medical condition that requires attention. Symptoms may vary."
Complete traumatic metacarpophalangeal amputation of other finger,Complete traumatic metacarpophalangeal amputation of other finger is a medical condition that requires attention. Symptoms may vary.
Unilateral high scrotal testis,Unilateral high scrotal testis is a medical condition that requires attention. Symptoms may vary.
Nondisplaced fracture of navicular [scaphoid] of right foot,Nondisplaced fracture of navicular [scaphoid] of right foot is a medical condition that requires attention. Symptoms may vary.
Sprain of lateral collateral ligament of left knee,Sprain of lateral collateral ligament of left knee is a medical condition that requires attention. Symptoms may vary.
Burns of other specified parts of right eye and adnexa,Burns of other specified parts of right eye and adnexa is a medical condition that requires attention. Symptoms may vary.
Displaced transverse fracture of shaft of left fibula,Displaced transverse fracture of shaft of left fibula is a medical condition that requires attention. Symptoms may vary.
Other diseases of lip and oral mucosa,Other diseases of lip and oral mucosa is a medical condition that requires attention. Symptoms may vary.
"Strain of unspecified muscle and tendon at ankle and foot level, left foot","Strain of unspecified muscle and tendon at ankle and foot level, left foot is a medical condition that requires attention. Symptoms may vary."
"Disorder of gingiva and edentulous alveolar ridge, unspecified","Disorder of gingiva and edentulous alveolar ridge, unspecified is a medical condition that requires attention. Symptoms may vary."
